symbol,composite_score,trend_score,momentum_score,meanrev_score,sentiment_score,sector_tilt,gap_score,gap_label,cost_score,sector,tags
QQQ,0.3291,0.3333,1.0,-1.0,0.0,0.0,0.124,NEUTRAL,-1.0,UNKNOWN,high_momentum
SPY,-0.3169,-0.3333,-1.0,1.0,0.0,0.0,-0.0026,CONT,1.0,UNKNOWN,gap_continuation
